innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Jasprit Bumrah,4,0,25,1,6.25,9,3,0,0,0,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Mitchell McClenaghan,3,0,22,2,7.33,11,3,0,1,0,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Hardik Pandya,3,0,20,2,6.66,9,3,0,2,0,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Mustafizur Rahman,3.4,0,18,1,4.90,12,1,1,0,0,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Mayank Markande,3,0,15,2,5.00,10,2,0,0,0,Mumbai Indians
1,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Krunal Pandya,2,0,14,0,7.00,3,1,0,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Sandeep Sharma,3,0,9,1,3.00,14,1,0,1,0,Sunrisers Hyderabad
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Mohammad Nabi,3,0,23,1,7.66,8,4,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Shakib Al Hasan,3,0,16,1,5.33,8,0,1,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Siddarth Kaul,4,0,23,3,5.75,13,4,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Rashid Khan,4,1,11,2,2.75,16,1,0,0,0,Sunrisers Hyderabad
2,ipl-2018-1131611,mumbai-indians-vs-sunrisers-hyderabad-23rd-match-1136583,Basil Thampi,1.5,0,4,2,2.18,7,0,0,0,0,Sunrisers Hyderabad
