innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Marcus Stoinis,2,0,15,1,7.50,4,2,0,0,0,Kings XI Punjab
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Axar Patel,3,0,24,0,8.00,7,2,1,0,0,Kings XI Punjab
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Mohit Sharma,3,0,29,0,9.66,7,3,1,1,1,Kings XI Punjab
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Andrew Tye,4,0,34,4,8.50,7,3,1,0,0,Kings XI Punjab
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Ravichandran Ashwin,4,0,34,0,8.50,4,2,1,0,0,Kings XI Punjab
1,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Mujeeb Ur Rahman,4,0,21,2,5.25,8,1,0,0,0,Kings XI Punjab
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Krishnappa Gowtham,3,0,12,2,4.00,10,1,0,1,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Jofra Archer,4,0,32,1,8.00,8,3,1,0,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Jaydev Unadkat,4,0,36,1,9.00,6,3,1,0,1,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Ben Stokes,2,0,13,1,6.50,6,2,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Ish Sodhi,4,0,14,1,3.50,12,0,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Mahipal Lomror,2,0,19,0,9.50,1,2,0,0,0,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-kings-xi-punjab-40th-match-1136600,Anureet Singh,1,0,12,0,12.00,1,2,0,0,0,Rajasthan Royals
