innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Trent Boult,4,0,39,2,9.75,7,4,1,1,0,Delhi Daredevils
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Shahbaz Nadeem,2,0,22,0,11.00,4,2,1,2,0,Delhi Daredevils
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Mohammed Shami,4,0,36,1,9.00,10,5,1,0,0,Delhi Daredevils
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Dan Christian,3,0,35,2,11.66,5,5,1,0,0,Delhi Daredevils
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Rahul Tewatia,4,0,36,2,9.00,8,1,3,1,0,Delhi Daredevils
1,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Glenn Maxwell,3,0,21,0,7.00,5,2,0,1,0,Delhi Daredevils
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Hardik Pandya,2,0,32,0,16.00,2,4,2,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Akila Dananjaya,4,0,47,0,11.75,6,2,4,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Jasprit Bumrah,4,0,27,0,6.75,9,3,0,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Mustafizur Rahman,4,0,25,1,6.25,11,2,1,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Mayank Markande,3,0,42,0,14.00,2,5,2,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-delhi-daredevils-9th-match-1136569,Krunal Pandya,3,0,21,2,7.00,8,2,1,0,0,Mumbai Indians
