innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Mitchell McClenaghan,4,0,26,2,6.50,10,2,1,0,0,Mumbai Indians
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Jasprit Bumrah,4,0,25,0,6.25,12,2,1,1,0,Mumbai Indians
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Hardik Pandya,4,0,39,1,9.75,8,4,2,0,0,Mumbai Indians
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Krunal Pandya,4,0,32,2,8.00,9,1,2,1,0,Mumbai Indians
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Mayank Markande,3,0,30,0,10.00,5,2,2,1,0,Mumbai Indians
1,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Ben Cutting,1,0,14,0,14.00,1,1,1,1,0,Mumbai Indians
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Deepak Chahar,2.1,0,19,0,8.76,6,3,0,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Shardul Thakur,4,0,38,0,9.50,9,5,1,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Shane Watson,4,0,41,0,10.25,8,2,3,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Harbhajan Singh,3.5,0,20,1,5.21,7,1,0,0,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Imran Tahir,2.4,0,26,0,9.75,5,1,2,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-mumbai-indians-27th-match-1136587,Dwayne Bravo,3,0,21,1,7.00,5,2,0,1,0,Chennai Super Kings
