innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Stuart Binny,2,0,33,0,16.50,2,7,0,1,1,Rajasthan Royals
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Krishnappa Gowtham,3,0,35,0,11.66,3,1,3,0,0,Rajasthan Royals
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Jaydev Unadkat,4,0,39,0,9.75,8,4,2,0,0,Rajasthan Royals
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Ben Stokes,3,0,39,0,13.00,4,8,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Ben Laughlin,4,0,38,2,9.50,5,3,1,3,0,Rajasthan Royals
1,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Shreyas Gopal,4,0,20,3,5.00,12,2,0,1,0,Rajasthan Royals
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Deepak Chahar,4,0,30,2,7.50,9,1,1,4,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Shardul Thakur,3,0,18,2,6.00,9,2,0,0,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Shane Watson,3,0,13,1,4.33,9,1,0,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Imran Tahir,4,0,44,1,11.00,4,3,2,1,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Dwayne Bravo,2,0,16,2,8.00,2,1,0,2,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Karn Sharma,1.3,0,13,2,8.66,2,2,0,0,0,Chennai Super Kings
2,ipl-2018-1131611,chennai-super-kings-vs-rajasthan-royals-17th-match-1136577,Ravindra Jadeja,1,0,6,0,6.00,1,0,0,0,0,Chennai Super Kings
