innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Nitish Rana,2,0,17,0,8.50,5,3,0,1,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Prasidh Krishna,4,0,39,0,9.75,7,5,1,1,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Mitchell Johnson,3,0,25,0,8.33,7,2,1,2,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Sunil Narine,4,0,35,2,8.75,8,2,2,0,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Piyush Chawla,3,0,35,0,11.66,6,4,2,0,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Kuldeep Yadav,2,0,17,0,8.50,4,1,1,0,0,Kolkata Knight Riders
1,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Andre Russell,2,0,12,2,6.00,5,1,0,1,0,Kolkata Knight Riders
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Mitchell McClenaghan,4,0,30,1,7.50,10,3,1,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Jasprit Bumrah,4,0,34,1,8.50,10,5,1,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Hardik Pandya,4,0,19,2,4.75,13,2,0,1,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Krunal Pandya,3,0,29,1,9.66,7,4,1,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Mayank Markande,3,0,25,1,8.33,9,2,2,0,0,Mumbai Indians
2,ipl-2018-1131611,mumbai-indians-vs-kolkata-knight-riders-37th-match-1136597,Ben Cutting,2,0,23,0,11.50,4,5,0,0,0,Mumbai Indians
