innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Dhawal Kulkarni,4,0,32,2,8.00,12,1,3,2,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Krishnappa Gowtham,3,0,20,0,6.66,5,2,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Jofra Archer,4,0,22,3,5.50,12,3,0,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Jaydev Unadkat,4,0,31,1,7.75,9,3,1,0,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Shreyas Gopal,2,0,30,0,15.00,1,2,2,1,0,Rajasthan Royals
1,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Ben Stokes,3,0,31,0,10.33,5,2,1,0,1,Rajasthan Royals
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Mitchell McClenaghan,3,0,32,1,10.66,5,3,1,1,0,Mumbai Indians
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Jasprit Bumrah,4,0,28,2,7.00,10,3,0,0,1,Mumbai Indians
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Krunal Pandya,4,0,33,1,8.25,5,2,0,2,0,Mumbai Indians
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Mustafizur Rahman,4,0,35,1,8.75,6,3,1,0,1,Mumbai Indians
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Mayank Markande,2,0,15,0,7.50,3,1,0,0,0,Mumbai Indians
2,ipl-2018-1131611,rajasthan-royals-vs-mumbai-indians-21st-match-1136581,Hardik Pandya,2.4,0,25,2,9.37,4,2,1,1,0,Mumbai Indians
