innings,series,game,Player,O,M,R,W,ECON,0s,4s,6s,WD,NB,team
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Umesh Yadav,4,0,27,1,6.75,11,3,1,0,0,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Chris Woakes,4,0,40,0,10.00,9,6,1,0,0,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Yuzvendra Chahal,3,0,22,2,7.33,10,1,2,1,0,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Mohammed Siraj,4,0,35,0,8.75,10,1,3,2,0,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Washington Sundar,4,0,31,1,7.75,6,1,2,0,0,Royal Challengers Bangalore
1,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Corey Anderson,1,0,10,1,10.00,4,1,1,0,0,Royal Challengers Bangalore
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Trent Boult,4,0,33,1,8.25,6,3,1,0,0,Delhi Daredevils
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Glenn Maxwell,2,0,13,1,6.50,6,0,1,1,0,Delhi Daredevils
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Shahbaz Nadeem,2,0,27,0,13.50,3,6,0,0,0,Delhi Daredevils
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Chris Morris,4,0,43,0,10.75,7,3,3,2,0,Delhi Daredevils
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Harshal Patel,3,0,33,1,11.00,3,2,2,0,0,Delhi Daredevils
2,ipl-2018-1131611,royal-challengers-bangalore-vs-delhi-daredevils-19th-match-1136579,Rahul Tewatia,3,0,26,0,8.66,2,0,2,0,0,Delhi Daredevils
